Profil;h;b;d;t;r;A;Wely;Welz;Wply;Wplz;Iy;Iz;Iv;Iw;g;iy;iz;Avy;Avz;Wv
-;mm;mm;mm;mm;mm;mm2;mm3;mm3;mm3;mm3;mm4;mm4;mm4;mm6;kg/m;mm;mm;mm2;mm2;mm3
SHS90x90x4-V;90;90;4;4;4;1360;37000;37000;43600;43600;1660000;1660000;2600000;0;10.7;35;35;680;680;54200
SHS90x90x5-V;90;90;5;5;5;1670;44400;44400;53000;53000;2000000;2000000;3160000;0;13.1;34.5;34.5;835;835;64800
SHS90x90x6-V;90;90;6;6;6;1980;51100;51100;61800;61800;2300000;2300000;3670000;0;15.5;34.1;34.1;990;990;74300
SHS90x90x8-V;90;90;8;8;8;2560;62600;62600;77600;77600;2810000;2810000;4590000;0;20.1;33.2;33.2;1280;1280;90500
SHS100x100x4-V;100;100;4;4;4;1520;46400;46400;54400;54400;2320000;2320000;3610000;0;11.9;39.1;39.1;760;760;68200
SHS100x100x5-V;100;100;5;5;5;1870;55900;55900;66400;66400;2790000;2790000;4390000;0;14.7;38.6;38.6;935;935;81800
SHS100x100x6-V;100;100;6;6;6;2220;64600;64600;77600;77600;3230000;3230000;5130000;0;17.4;38.2;38.2;1110;1110;94300
SHS100x100x8-V;100;100;8;8;8;2880;79900;79900;98200;98200;4000000;4000000;6460000;0;22.6;37.3;37.3;1440;1440;116000
SHS100x100x10-V;100;100;10;10;10;3490;92400;92400;116000;116000;4620000;4620000;7610000;0;27.4;36.4;36.4;1745;1745;133000
SHS120x120x5-V;120;120;5;5;5;2270;83000;83000;97600;97600;4980000;4980000;7770000;0;17.8;46.8;46.8;1135;1135;122000
SHS120x120x6-V;120;120;6;6;6;2700;96600;96600;115000;115000;5790000;5790000;9110000;0;21.2;46.3;46.3;1350;1350;141000
SHS120x120x8-V;120;120;8;8;8;3520;121000;121000;146000;146000;7260000;7260000;11600000;0;27.6;45.5;45.5;1760;1760;176000
SHS120x120x10-V;120;120;10;10;10;4290;142000;142000;175000;175000;8520000;8520000;13800000;0;33.7;44.6;44.6;2145;2145;206000
SHS140x140x5-V;140;140;5;5;5;2670;115000;115000;135000;135000;8070000;8070000;12500000;0;21;55;55;1335;1335;170000
SHS140x140x6-V;140;140;6;6;6;3180;135000;135000;159000;159000;9440000;9440000;14800000;0;24.9;54.5;54.5;1590;1590;198000
SHS140x140x8-V;140;140;8;8;8;4160;171000;171000;204000;204000;12000000;12000000;18900000;0;32.6;53.6;53.6;2080;2080;249000
SHS140x140x10-V;140;140;10;10;10;5090;202000;202000;246000;246000;14200000;14200000;22700000;0;40;52.7;52.7;2545;2545;294000
SHS150x150x5-V;150;150;5;5;5;2870;134000;134000;156000;156000;10000000;10000000;15500000;0;22.6;59;59;1435;1435;197000
SHS150x150x6-V;150;150;6;6;6;3420;156000;156000;184000;184000;11700000;11700000;18300000;0;26.8;58.6;58.6;1710;1710;230000
SHS150x150x8-V;150;150;8;8;8;4480;199000;199000;237000;237000;14900000;14900000;23500000;0;35.1;57.7;57.7;2240;2240;291000
SHS150x150x10-V;150;150;10;10;10;5490;236000;236000;286000;286000;17700000;17700000;28300000;0;43.1;56.8;56.8;2745;2745;344000
SHS150x150x12.5-V;150;150;12.5;12.5;12.5;6710;277000;277000;342000;342000;20800000;20800000;33700000;0;52.7;55.7;55.7;3355;3355;402000
SHS150x150x16-V;150;150;16;16;16;8300;324000;324000;411000;411000;24300000;24300000;40300000;0;65.2;54.1;54.1;4150;4150;467000
SHS160x160x5-V;160;160;5;5;5;3070;153000;153000;178000;178000;12200000;12200000;18900000;0;24.1;63.1;63.1;1535;1535;226000
SHS160x160x6-V;160;160;6;6;6;3660;180000;180000;210000;210000;14400000;14400000;22300000;0;28.7;62.7;62.7;1830;1830;264000
SHS160x160x8-V;160;160;8;8;8;4800;229000;229000;272000;272000;18300000;18300000;28800000;0;37.6;61.8;61.8;2400;2400;335000
SHS160x160x10-V;160;160;10;10;10;5890;273000;273000;329000;329000;21900000;21900000;34800000;0;46.3;60.9;60.9;2945;2945;398000
SHS180x180x5-V;180;180;5;5;5;3470;196000;196000;227000;227000;17700000;17700000;27200000;0;27.3;71.3;71.3;1735;1735;290000
SHS180x180x6.3-V;180;180;6.3;6.3;6.3;4330;241000;241000;281000;281000;21700000;21700000;33600000;0;34;70.7;70.7;2165;2165;355000
SHS180x180x8-V;180;180;8;8;8;5440;296000;296000;349000;349000;26600000;26600000;41600000;0;42.7;70;70;2720;2720;434000
SHS180x180x10-V;180;180;10;10;10;6690;355000;355000;424000;424000;31900000;31900000;50500000;0;52.5;69.1;69.1;3345;3345;518000
SHS200x200x5-V;200;200;5;5;5;3870;245000;245000;283000;283000;24500000;24500000;37600000;0;30.4;79.5;79.5;1935;1935;362000
SHS200x200x6.3-V;200;200;6.3;6.3;6.3;4840;301000;301000;350000;350000;30100000;30100000;46500000;0;38;78.9;78.9;2420;2420;444000
SHS200x200x8-V;200;200;8;8;8;6080;371000;371000;436000;436000;37100000;37100000;57800000;0;47.7;78.1;78.1;3040;3040;545000
SHS200x200x10-V;200;200;10;10;10;7490;447000;447000;531000;531000;44700000;44700000;70300000;0;58.8;77.2;77.2;3745;3745;655000
SHS200x200x12.5-V;200;200;12.5;12.5;12.5;9210;534000;534000;643000;643000;53400000;53400000;84900000;0;72.3;76.1;76.1;4605;4605;778000
SHS200x200x16-V;200;200;16;16;16;11500;639000;639000;785000;785000;63900000;63900000;103000000;0;90.3;74.6;74.6;5750;5750;927000
SHS20x20x2-K;20;20;2;2;2;134;692;692;877;877;6920;6920;12100;0;1.05;7.2;7.2;67;67;1060
SHS25x25x2.5-K;25;25;2.5;2.5;2.5;209;1350;1350;1710;1710;16900;16900;29700;0;1.64;8.99;8.99;104.5;104.5;2070
SHS25x25x3-K;25;25;3;3;3;241;1470;1470;1910;1910;18400;18400;33300;0;1.89;8.74;8.74;120.5;120.5;2270
SHS30x30x2.5-K;30;30;2.5;2.5;2.5;259;2100;2100;2610;2610;31600;31600;54000;0;2.03;11;11;129.5;129.5;3200
SHS30x30x3-K;30;30;3;3;3;301;2340;2340;2960;2960;35000;35000;61500;0;2.36;10.8;10.8;150.5;150.5;3580
SHS40x40x2.5-K;40;40;2.5;2.5;2.5;359;4110;4110;4970;4970;82200;82200;136000;0;2.82;15.1;15.1;179.5;179.5;6210
SHS40x40x3-K;40;40;3;3;3;421;4660;4660;5720;5720;93200;93200;158000;0;3.3;14.9;14.9;210.5;210.5;7070
SHS40x40x4-K;40;40;4;4;4;535;5540;5540;7010;7010;111000;111000;194000;0;4.2;14.4;14.4;267.5;267.5;8480
SHS50x50x3-K;50;50;3;3;3;541;7790;7790;9390;9390;195000;195000;321000;0;4.25;19;19;270.5;270.5;11800
SHS50x50x4-K;50;50;4;4;4;695;9490;9490;11700;11700;237000;237000;404000;0;5.45;18.5;18.5;347.5;347.5;14400
SHS50x50x5-K;50;50;5;5;5;836;10800;10800;13700;13700;270000;270000;475000;0;6.56;18;18;418;418;16600
SHS60x60x3-K;60;60;3;3;3;661;11700;11700;14000;14000;351000;351000;571000;0;5.19;23.1;23.1;330.5;330.5;17700
SHS60x60x4-K;60;60;4;4;4;855;14500;14500;17600;17600;436000;436000;726000;0;6.71;22.6;22.6;427.5;427.5;22000
SHS60x60x5-K;60;60;5;5;5;1040;16800;16800;20900;20900;505000;505000;864000;0;8.13;22.1;22.1;520;520;25600
SHS70x70x3-K;70;70;3;3;3;781;16400;16400;19400;19400;575000;575000;924000;0;6.13;27.1;27.1;390.5;390.5;24700
SHS70x70x4-K;70;70;4;4;4;1010;20600;20600;24800;24800;721000;721000;1190000;0;7.97;26.7;26.7;505;505;31100
SHS70x70x5-K;70;70;5;5;5;1240;24200;24200;29600;29600;846000;846000;1420000;0;9.7;26.2;26.2;620;620;36700
SHS80x80x3-K;80;80;3;3;3;901;22000;22000;25800;25800;878000;878000;1400000;0;7.07;31.2;31.2;450.5;450.5;33000
SHS80x80x4-K;80;80;4;4;4;1170;27800;27800;33100;33100;1110000;1110000;1800000;0;9.22;30.7;30.7;585;585;41800
SHS80x80x5-K;80;80;5;5;5;1440;32900;32900;39700;39700;1310000;1310000;2180000;0;11.3;30.3;30.3;720;720;49700
SHS80x80x6-K;80;80;6;6;6;1680;37300;37300;45800;45800;1490000;1490000;2520000;0;13.2;29.8;29.8;840;840;56600
SHS90x90x3-K;90;90;3;3;3;1020;28300;28300;33000;33000;1270000;1270000;2010000;0;8.01;35.3;35.3;510;510;42500
SHS90x90x4-K;90;90;4;4;4;1330;36000;36000;42600;42600;1620000;1620000;2610000;0;10.5;34.8;34.8;665;665;54200
SHS90x90x5-K;90;90;5;5;5;1640;42900;42900;51400;51400;1930000;1930000;3160000;0;12.8;34.3;34.3;820;820;64700
SHS90x90x6-K;90;90;6;6;6;1920;49000;49000;59500;59500;2200000;2200000;3680000;0;15.1;33.9;33.9;960;960;74200
SHS100x100x3-K;100;100;3;3;3;1140;35400;35400;41200;41200;1770000;1770000;2790000;0;8.96;39.4;39.4;570;570;53200
SHS100x100x4-K;100;100;4;4;4;1490;45300;45300;53300;53300;2260000;2260000;3620000;0;11.7;38.9;38.9;745;745;68100
SHS100x100x5-K;100;100;5;5;5;1840;54200;54200;64600;64600;2710000;2710000;4410000;0;14.4;38.4;38.4;920;920;81700
SHS100x100x6-K;100;100;6;6;6;2160;62300;62300;75100;75100;3110000;3110000;5140000;0;17;37.9;37.9;1080;1080;94100
SHS100x100x8-K;100;100;8;8;12;2720;73200;73200;91100;91100;3660000;3660000;6450000;0;21.4;36.7;36.7;1360;1360;114000
SHS120x120x4-K;120;120;4;4;4;1810;67000;67000;78300;78300;4020000;4020000;6370000;0;14.2;47.1;47.1;905;905;101000
SHS120x120x5-K;120;120;5;5;5;2240;80900;80900;95400;95400;4850000;4850000;7780000;0;17.5;46.6;46.6;1120;1120;122000
SHS120x120x6-K;120;120;6;6;6;2640;93700;93700;112000;112000;5620000;5620000;9130000;0;20.7;46.1;46.1;1320;1320;141000
SHS120x120x8-K;120;120;8;8;12;3360;113000;113000;138000;138000;6770000;6770000;11600000;0;26.4;44.9;44.9;1680;1680;175000
SHS140x140x5-K;140;140;5;5;5;2640;113000;113000;132000;132000;7910000;7910000;12600000;0;20.7;54.8;54.8;1320;1320;170000
SHS140x140x6-K;140;140;6;6;6;3120;131000;131000;155000;155000;9200000;9200000;14800000;0;24.5;54.3;54.3;1560;1560;198000
SHS140x140x8-K;140;140;8;8;12;4000;161000;161000;194000;194000;11270000;11270000;19000000;0;31.4;53;53;2000;2000;248000
SHS150x150x5-K;150;150;5;5;5;2840;131000;131000;153000;153000;9820000;9820000;15500000;0;22.3;58.9;58.9;1420;1420;197000
SHS150x150x6-K;150;150;6;6;6;3360;153000;153000;180000;180000;11500000;11500000;18300000;0;26.4;58.4;58.4;1680;1680;230000
SHS150x150x8-K;150;150;8;8;12;4320;188000;188000;226000;226000;14100000;14100000;23600000;0;33.9;57.1;57.1;2160;2160;289000
SHS150x150x10-K;150;150;10;10;15;5260;220000;220000;269000;269000;16500000;16500000;28400000;0;41.3;56.1;56.1;2630;2630;341000
SHS200x200x6-K;200;200;6;6;6;4560;283000;283000;330000;330000;28300000;28300000;44600000;0;35.8;78.8;78.8;2280;2280;426000
SHS200x200x8-K;200;200;8;8;12;5920;357000;357000;421000;421000;35700000;35700000;58200000;0;46.5;77.6;77.6;2960;2960;544000
SHS200x200x10-K;200;200;10;10;15;7260;425000;425000;508000;508000;42500000;42500000;70700000;0;57;76.5;76.5;3630;3630;651000
SHS200x200x12-K;200;200;12;12;18;8410;473000;473000;576000;576000;47300000;47300000;82300000;0;66;75;75;4205;4205;743000
SHS250x250x8-K;250;250;8;8;12;7520;578000;578000;676000;676000;72300000;72300000;116000000;0;59.1;98;98;3760;3760;878000
SHS250x250x10-K;250;250;10;10;15;9260;697000;697000;822000;822000;87100000;87100000;142000000;0;72.7;97;97;4630;4630;1062000
SHS250x250x12-K;250;250;12;12;18;10800;789000;789000;944000;944000;98600000;98600000;167000000;0;84.8;95.5;95.5;5400;5400;1226000
SHS300x300x10-K;300;300;10;10;15;11300;1035000;1035000;1211000;1211000;155000000;155000000;250000000;0;88.4;117;117;5650;5650;1572000
SHS300x300x12-K;300;300;12;12;18;13200;1184000;1184000;1402000;1402000;178000000;178000000;295000000;0;104;116;116;6600;6600;1829000
