Profil;h;b;d;t;r;A;Wely;Welz;Wply;Wplz;Iy;Iz;Iv;Iw;g;iy;iz;Avy;Avz;Wv
-;mm;mm;mm;mm;mm;mm2;mm3;mm3;mm3;mm3;mm4;mm4;mm4;mm6;kg/m;mm;mm;mm2;mm2;mm3
RHS100x60x4-V;100;60;4;4;4;1200;31600;23500;39100;27300;1580000;705000;1560000;0;9.41;36.3;24.3;750.0;450.0;38700
RHS100x60x5-V;100;60;5;5;5;1470;37800;27900;47400;32900;1890000;836000;1880000;0;11.6;35.8;23.8;918.8;551.3;45900
RHS100x60x6-V;100;60;6;6;6;1740;43400;31700;55100;38100;2170000;950000;2160000;0;13.6;35.3;23.4;1087.5;652.5;52100
RHS120x60x4-V;120;60;4;4;4;1360;41500;27700;51900;31700;2490000;831000;2010000;0;10.7;42.8;24.7;906.7;453.3;47100
RHS120x60x5-V;120;60;5;5;5;1670;49900;32900;63100;38400;2990000;988000;2420000;0;13.1;42.3;24.3;1113.3;556.7;56000
RHS120x60x6-V;120;60;6;6;6;1980;57500;37500;73600;44500;3450000;1130000;2790000;0;15.5;41.8;23.9;1320.0;660.0;63800
RHS120x80x4-V;120;80;4;4;4;1520;50400;40200;61200;46100;3030000;1610000;3300000;0;11.9;44.6;32.5;912.0;608.0;65000
RHS120x80x5-V;120;80;5;5;5;1870;60900;48200;74600;56100;3650000;1930000;4010000;0;14.7;44.2;32.1;1122.0;748.0;77900
RHS120x80x6-V;120;80;6;6;6;2220;70600;55600;87300;65500;4230000;2220000;4680000;0;17.4;43.7;31.7;1332.0;888.0;89600
RHS120x80x8-V;120;80;8;8;8;2880;87500;68100;111000;82600;5250000;2730000;5870000;0;22.6;42.7;30.8;1728.0;1152.0;110000
RHS120x80x10-V;120;80;10;10;10;3490;102000;78100;131000;97300;6090000;3130000;6880000;0;27.4;41.8;29.9;2094.0;1396.0;126000
RHS140x80x4-V;140;80;4;4;4;1680;62900;46000;77100;52200;4410000;1840000;4110000;0;13.2;51.2;33.1;1069.1;610.9;76500
RHS140x80x5-V;140;80;5;5;5;2070;76300;55300;94300;63600;5340000;2210000;4990000;0;16.3;50.8;32.7;1317.3;752.7;91900
RHS140x80x6-V;140;80;6;6;6;2460;88700;63800;111000;74400;6210000;2550000;5830000;0;19.3;50.3;32.2;1565.5;894.5;106000
RHS150x100x5-V;150;100;5;5;5;2370;98500;78500;119000;90100;7390000;3920000;8070000;0;18.6;55.8;40.7;1422.0;948.0;127000
RHS150x100x6-V;150;100;6;6;6;2820;115000;91200;141000;106000;8620000;4560000;9460000;0;22.1;55.3;40.2;1692.0;1128.0;147000
RHS150x100x8-V;150;100;8;8;8;3680;145000;114000;180000;135000;10900000;5690000;12000000;0;28.9;54.4;39.4;2208.0;1472.0;183000
RHS150x100x10-V;150;100;10;10;10;4490;171000;133000;216000;161000;12800000;6650000;14300000;0;35.3;53.4;38.5;2694.0;1796.0;214000
RHS160x80x5-V;160;80;5;5;5;2270;93000;62300;116000;71100;7440000;2490000;6000000;0;17.8;57.2;33.1;1513.3;756.7;106000
RHS160x80x6-V;160;80;6;6;6;2700;108000;72000;136000;83300;8680000;2880000;7010000;0;21.2;56.7;32.7;1800.0;900.0;122000
RHS160x80x8-V;160;80;8;8;8;3520;136000;89000;175000;106000;10900000;3560000;8830000;0;27.6;55.7;31.8;2346.7;1173.3;151000
RHS160x80x10-V;160;80;10;10;10;4290;161000;103000;209000;125000;12800000;4110000;10400000;0;33.7;54.7;31;2860.0;1430.0;175000
